id,title,date,instrumentation,blurb,edit,proof,draft,page,comments,video url,embed
1,iminlovewithanothergirl.com,Jan 2013,"for snare drum, microphone, & DMX lights",iminlovewithanothergirl.com is a solo audio/visual piece that focuses on form as prime compositional material.,,,,http://www.rodrigoconstanzo.com/2013/09/com-pieces/,,https://www.youtube.com/watch?v=wdUwYcjpc2c,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/wdUwYcjpc2c?rel=0"" frameborder=""0"" allowfullscreen></iframe>"
2,ialreadyforgotyourpussy.com,Jun 2013,for amplified wind instrument and amplified snare drum,ialreadyforgotyourpussy.com is a duet that focuses on memory as prime compositional material.,,,,http://www.rodrigoconstanzo.com/2013/09/com-pieces/,,https://www.youtube.com/watch?v=mnSiAciSka4,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/mnSiAciSka4?rel=0"" frameborder=""0"" allowfullscreen></iframe>"
3,dfscore system,May 2014,software system,The dfscore system is a realtime dynamic score system built to function over a local network to display a variety of musical material.,,,,(new blog),"include iscore, shackle, etc…",,
4,pitchy,Sep 2014,for soloist and variable ensemble,"pitchy is a piece for the dfscore system in which a solo performer randomly generates, stores, and recalls a harmonic accompaniment.",,,,,,https://www.youtube.com/watch?v=L4fESNOhaQs,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/L4fESNOhaQs?rel=0"" frameborder=""0"" allowfullscreen></iframe>"
5,Hands,Jul 2015,"for winds, guitars, and rhythm section",Hands is a piece for the dfscore system which is made up of blocks of material that are probabilistically restructured and orchestrated. ,,,,,,,
6,C-C-Combine,Aug 2012,software system,C-C-Combine is a corpus-based audio mosiacing application built to map arbitrary input to arbitrary output.,X,X,,http://www.rodrigoconstanzo.com/combine/,,,
7,Grassi Box,Jul 2014,software system,The Grassi Box is a MIDI-to-relay piece of hardware and set of software tools made to control ciat-lonbarde instruments from a computer.,X,X,,http://www.rodrigoconstanzo.com/grassi-box/,,,
8,Everything. Everything at once. Once. (1),Oct 2013,for variable instrumentation,Everything. Everything at once. Once. is a series of improvised pieces that focuses on the curation of instruments as the prime compositional material.,X,X,,http://www.rodrigoconstanzo.com/2013/10/everything-at-once/,,,
9,Everything. Everything at once. Once. (2),Feb 2014,for variable instrumentation,Everything. Everything at once. Once. is a series of improvised pieces that focuses on the curation of instruments as the prime compositional material.,X,X,,http://www.rodrigoconstanzo.com/2014/03/everything-everything-at-once-once-2/,,,
10,Everything. Everything at once. Once. (3),Feb 2015,for variable instrumentation,Everything. Everything at once. Once. is a series of improvised pieces that focuses on the curation of instruments as the prime compositional material.,X,X,,http://www.rodrigoconstanzo.com/2015/02/everything-everything-at-once-once-3/,,,
